"Campagne","Annee","Trait","Nom_Scientifique","Code_Campagne","Nombre","Poids","Pmoy","longueurmoy","DateDeb","LatDeb","LongDeb","DateFin","LatFin","LongFin"
"SHINY",2025,"B1","Cephalaspis.tenuicornis",26,900,900,NA,NA,"01/04/2025 00:00",44.0442319505708,-2.04316198274493,"01/04/2025 00:00",44.0442319505708,-2.02316198274493
"SHINY",2030,"B1","Cephalaspis.tenuicornis",31,1484,1484,NA,NA,"01/07/2030 00:00",44.0442319505708,-2.04316198274493,"01/07/2030 00:00",44.0442319505708,-2.02316198274493
"SHINY",2015,"B1","Cephalaspis.tenuicornis",17,1279,1279,NA,NA,"01/01/2015 00:00",44.0442319505708,-2.04316198274493,"01/01/2015 00:00",44.0442319505708,-2.02316198274493
"SHINY",2030,"B1","Cephalaspis.tenuicornis",32,159,159,NA,NA,"01/10/2030 00:00",44.0442319505708,-2.04316198274493,"01/10/2030 00:00",44.0442319505708,-2.02316198274493
"SHINY",2020,"B1","Cephalaspis.tenuicornis",21,2380,2380,NA,NA,"01/01/2020 00:00",44.0442319505708,-2.04316198274493,"01/01/2020 00:00",44.0442319505708,-2.02316198274493
"SHINY",2025,"B1","Cephalaspis.tenuicornis",25,531,531,NA,NA,"01/01/2025 00:00",44.0442319505708,-2.04316198274493,"01/01/2025 00:00",44.0442319505708,-2.02316198274493
"SHINY",2025,"B1","Cephalaspis.tenuicornis",27,0,0,NA,NA,"01/07/2025 00:00",44.0442319505708,-2.04316198274493,"01/07/2025 00:00",44.0442319505708,-2.02316198274493
"SHINY",2020,"B1","Cephalaspis.tenuicornis",24,4,4,NA,NA,"01/10/2020 00:00",44.0442319505708,-2.04316198274493,"01/10/2020 00:00",44.0442319505708,-2.02316198274493
"SHINY",2010,"B1","Cephalaspis.tenuicornis",15,37398,37398,NA,NA,"01/07/2010 00:00",44.0442319505708,-2.04316198274493,"01/07/2010 00:00",44.0442319505708,-2.02316198274493
"SHINY",2030,"B1","Cephalaspis.tenuicornis",30,470,470,NA,NA,"01/04/2030 00:00",44.0442319505708,-2.04316198274493,"01/04/2030 00:00",44.0442319505708,-2.02316198274493
"SHINY",2025,"B1","Cephalaspis.tenuicornis",28,10861,10861,NA,NA,"01/10/2025 00:00",44.0442319505708,-2.04316198274493,"01/10/2025 00:00",44.0442319505708,-2.02316198274493
"SHINY",2005,"B10","Cephalaspis.tenuicornis",9,0,0,NA,NA,"01/01/2005 00:00",44.0221450332413,-2.0792579966411,"01/01/2005 00:00",44.0221450332413,-2.0992579966411
"SHINY",2000,"B10","Cephalaspis.tenuicornis",8,2370,2370,NA,NA,"01/10/2000 00:00",44.0221450332413,-2.0792579966411,"01/10/2000 00:00",44.0221450332413,-2.0992579966411
"SHINY",2010,"B10","Cephalaspis.tenuicornis",15,40,40,NA,NA,"01/07/2010 00:00",44.0221450332413,-2.0792579966411,"01/07/2010 00:00",44.0221450332413,-2.0992579966411
"SHINY",2015,"B10","Cephalaspis.tenuicornis",20,1213,1213,NA,NA,"01/10/2015 00:00",44.0221450332413,-2.0792579966411,"01/10/2015 00:00",44.0221450332413,-2.0992579966411
"SHINY",1999,"B10","Cephalaspis.tenuicornis",3,10300,10300,NA,NA,"01/07/1999 00:00",44.0221450332413,-2.0792579966411,"01/07/1999 00:00",44.0221450332413,-2.0992579966411
"SHINY",1999,"B10","Cephalaspis.tenuicornis",2,0,0,NA,NA,"01/04/1999 00:00",44.0221450332413,-2.0792579966411,"01/04/1999 00:00",44.0221450332413,-2.0992579966411
"SHINY",2005,"B10","Cephalaspis.tenuicornis",10,4472,4472,NA,NA,"01/04/2005 00:00",44.0221450332413,-2.0792579966411,"01/04/2005 00:00",44.0221450332413,-2.0992579966411
"SHINY",1999,"B10","Cephalaspis.tenuicornis",4,1,1,NA,NA,"01/10/1999 00:00",44.0221450332413,-2.0792579966411,"01/10/1999 00:00",44.0221450332413,-2.0992579966411
"SHINY",2010,"B10","Cephalaspis.tenuicornis",14,693,693,NA,NA,"01/04/2010 00:00",44.0221450332413,-2.0792579966411,"01/04/2010 00:00",44.0221450332413,-2.0992579966411
"SHINY",2010,"B10","Cephalaspis.tenuicornis",16,6276,6276,NA,NA,"01/10/2010 00:00",44.0221450332413,-2.0792579966411,"01/10/2010 00:00",44.0221450332413,-2.0992579966411
"SHINY",2020,"B10","Cephalaspis.tenuicornis",21,0,0,NA,NA,"01/01/2020 00:00",44.0221450332413,-2.0792579966411,"01/01/2020 00:00",44.0221450332413,-2.0992579966411
"SHINY",2020,"B10","Cephalaspis.tenuicornis",23,0,0,NA,NA,"01/07/2020 00:00",44.0221450332413,-2.0792579966411,"01/07/2020 00:00",44.0221450332413,-2.0992579966411
"SHINY",2015,"B10","Cephalaspis.tenuicornis",17,72,72,NA,NA,"01/01/2015 00:00",44.0221450332413,-2.0792579966411,"01/01/2015 00:00",44.0221450332413,-2.0992579966411
"SHINY",2005,"B10","Cephalaspis.tenuicornis",11,131,131,NA,NA,"01/07/2005 00:00",44.0221450332413,-2.0792579966411,"01/07/2005 00:00",44.0221450332413,-2.0992579966411
"SHINY",2000,"B10","Cephalaspis.tenuicornis",5,114,114,NA,NA,"01/01/2000 00:00",44.0221450332413,-2.0792579966411,"01/01/2000 00:00",44.0221450332413,-2.0992579966411
"SHINY",2025,"B10","Cephalaspis.tenuicornis",26,1,1,NA,NA,"01/04/2025 00:00",44.0221450332413,-2.0792579966411,"01/04/2025 00:00",44.0221450332413,-2.0992579966411
"SHINY",2025,"B10","Cephalaspis.tenuicornis",28,0,0,NA,NA,"01/10/2025 00:00",44.0221450332413,-2.0792579966411,"01/10/2025 00:00",44.0221450332413,-2.0992579966411
"SHINY",2020,"B10","Cephalaspis.tenuicornis",22,4,4,NA,NA,"01/04/2020 00:00",44.0221450332413,-2.0792579966411,"01/04/2020 00:00",44.0221450332413,-2.0992579966411
"SHINY",2020,"B10","Cephalaspis.tenuicornis",24,1347,1347,NA,NA,"01/10/2020 00:00",44.0221450332413,-2.0792579966411,"01/10/2020 00:00",44.0221450332413,-2.0992579966411
"SHINY",2015,"B10","Cephalaspis.tenuicornis",18,0,0,NA,NA,"01/04/2015 00:00",44.0221450332413,-2.0792579966411,"01/04/2015 00:00",44.0221450332413,-2.0992579966411
"SHINY",2005,"B10","Cephalaspis.tenuicornis",12,3855,3855,NA,NA,"01/10/2005 00:00",44.0221450332413,-2.0792579966411,"01/10/2005 00:00",44.0221450332413,-2.0992579966411
"SHINY",2000,"B10","Cephalaspis.tenuicornis",6,302,302,NA,NA,"01/04/2000 00:00",44.0221450332413,-2.0792579966411,"01/04/2000 00:00",44.0221450332413,-2.0992579966411
"SHINY",2025,"B10","Cephalaspis.tenuicornis",27,2,2,NA,NA,"01/07/2025 00:00",44.0221450332413,-2.0792579966411,"01/07/2025 00:00",44.0221450332413,-2.0992579966411
"SHINY",2030,"B10","Cephalaspis.tenuicornis",29,48,48,NA,NA,"01/01/2030 00:00",44.0221450332413,-2.0792579966411,"01/01/2030 00:00",44.0221450332413,-2.0992579966411
"SHINY",2030,"B10","Cephalaspis.tenuicornis",31,209,209,NA,NA,"01/07/2030 00:00",44.0221450332413,-2.0792579966411,"01/07/2030 00:00",44.0221450332413,-2.0992579966411
"SHINY",2025,"B10","Cephalaspis.tenuicornis",25,538,538,NA,NA,"01/01/2025 00:00",44.0221450332413,-2.0792579966411,"01/01/2025 00:00",44.0221450332413,-2.0992579966411
"SHINY",2015,"B10","Cephalaspis.tenuicornis",19,0,0,NA,NA,"01/07/2015 00:00",44.0221450332413,-2.0792579966411,"01/07/2015 00:00",44.0221450332413,-2.0992579966411
"SHINY",2010,"B10","Cephalaspis.tenuicornis",13,1589,1589,NA,NA,"01/01/2010 00:00",44.0221450332413,-2.0792579966411,"01/01/2010 00:00",44.0221450332413,-2.0992579966411
"SHINY",2000,"B10","Cephalaspis.tenuicornis",7,36,36,NA,NA,"01/07/2000 00:00",44.0221450332413,-2.0792579966411,"01/07/2000 00:00",44.0221450332413,-2.0992579966411
"SHINY",1999,"B10","Cephalaspis.tenuicornis",1,156,156,NA,NA,"01/01/1999 00:00",44.0221450332413,-2.0792579966411,"01/01/1999 00:00",44.0221450332413,-2.0992579966411
"SHINY",2030,"B10","Cephalaspis.tenuicornis",30,4316,4316,NA,NA,"01/04/2030 00:00",44.0221450332413,-2.0792579966411,"01/04/2030 00:00",44.0221450332413,-2.0992579966411
"SHINY",2030,"B10","Cephalaspis.tenuicornis",32,7,7,NA,NA,"01/10/2030 00:00",44.0221450332413,-2.0792579966411,"01/10/2030 00:00",44.0221450332413,-2.0992579966411
"SHINY",2000,"B2","Cephalaspis.tenuicornis",5,2310,2310,NA,NA,"01/01/2000 00:00",44.0712380710128,-1.99975473180413,"01/01/2000 00:00",44.0812380710128,-2.01975473180413
"SHINY",2000,"B2","Cephalaspis.tenuicornis",8,18,18,NA,NA,"01/10/2000 00:00",44.0712380710128,-1.99975473180413,"01/10/2000 00:00",44.0812380710128,-2.01975473180413
"SHINY",1999,"B2","Cephalaspis.tenuicornis",1,101,101,NA,NA,"01/01/1999 00:00",44.0712380710128,-1.99975473180413,"01/01/1999 00:00",44.0812380710128,-2.01975473180413
"SHINY",2005,"B2","Cephalaspis.tenuicornis",11,0,0,NA,NA,"01/07/2005 00:00",44.0712380710128,-1.99975473180413,"01/07/2005 00:00",44.0812380710128,-2.01975473180413
"SHINY",2015,"B2","Cephalaspis.tenuicornis",18,906,906,NA,NA,"01/04/2015 00:00",44.0712380710128,-1.99975473180413,"01/04/2015 00:00",44.0812380710128,-2.01975473180413
"SHINY",1999,"B2","Cephalaspis.tenuicornis",4,0,0,NA,NA,"01/10/1999 00:00",44.0712380710128,-1.99975473180413,"01/10/1999 00:00",44.0812380710128,-2.01975473180413
"SHINY",2000,"B2","Cephalaspis.tenuicornis",6,2588,2588,NA,NA,"01/04/2000 00:00",44.0712380710128,-1.99975473180413,"01/04/2000 00:00",44.0812380710128,-2.01975473180413
"SHINY",2020,"B2","Cephalaspis.tenuicornis",21,3209,3209,NA,NA,"01/01/2020 00:00",44.0712380710128,-1.99975473180413,"01/01/2020 00:00",44.0812380710128,-2.01975473180413
"SHINY",2000,"B2","Cephalaspis.tenuicornis",7,212,212,NA,NA,"01/07/2000 00:00",44.0712380710128,-1.99975473180413,"01/07/2000 00:00",44.0812380710128,-2.01975473180413
"SHINY",2005,"B2","Cephalaspis.tenuicornis",12,135,135,NA,NA,"01/10/2005 00:00",44.0712380710128,-1.99975473180413,"01/10/2005 00:00",44.0812380710128,-2.01975473180413
"SHINY",2010,"B2","Cephalaspis.tenuicornis",14,2843,2843,NA,NA,"01/04/2010 00:00",44.0712380710128,-1.99975473180413,"01/04/2010 00:00",44.0812380710128,-2.01975473180413
"SHINY",1999,"B2","Cephalaspis.tenuicornis",3,0,0,NA,NA,"01/07/1999 00:00",44.0712380710128,-1.99975473180413,"01/07/1999 00:00",44.0812380710128,-2.01975473180413
"SHINY",2005,"B2","Cephalaspis.tenuicornis",10,0,0,NA,NA,"01/04/2005 00:00",44.0712380710128,-1.99975473180413,"01/04/2005 00:00",44.0812380710128,-2.01975473180413
"SHINY",2015,"B2","Cephalaspis.tenuicornis",20,0,0,NA,NA,"01/10/2015 00:00",44.0712380710128,-1.99975473180413,"01/10/2015 00:00",44.0812380710128,-2.01975473180413
"SHINY",2005,"B2","Cephalaspis.tenuicornis",9,9376,9376,NA,NA,"01/01/2005 00:00",44.0712380710128,-1.99975473180413,"01/01/2005 00:00",44.0812380710128,-2.01975473180413
"SHINY",2020,"B2","Cephalaspis.tenuicornis",24,2546,2546,NA,NA,"01/10/2020 00:00",44.0712380710128,-1.99975473180413,"01/10/2020 00:00",44.0812380710128,-2.01975473180413
"SHINY",2030,"B2","Cephalaspis.tenuicornis",31,22,22,NA,NA,"01/07/2030 00:00",44.0712380710128,-1.99975473180413,"01/07/2030 00:00",44.0812380710128,-2.01975473180413
"SHINY",1999,"B2","Cephalaspis.tenuicornis",2,2590,2590,NA,NA,"01/04/1999 00:00",44.0712380710128,-1.99975473180413,"01/04/1999 00:00",44.0812380710128,-2.01975473180413
"SHINY",2015,"B2","Cephalaspis.tenuicornis",17,3151,3151,NA,NA,"01/01/2015 00:00",44.0712380710128,-1.99975473180413,"01/01/2015 00:00",44.0812380710128,-2.01975473180413
"SHINY",2015,"B2","Cephalaspis.tenuicornis",19,167,167,NA,NA,"01/07/2015 00:00",44.0712380710128,-1.99975473180413,"01/07/2015 00:00",44.0812380710128,-2.01975473180413
"SHINY",2010,"B2","Cephalaspis.tenuicornis",16,1,1,NA,NA,"01/10/2010 00:00",44.0712380710128,-1.99975473180413,"01/10/2010 00:00",44.0812380710128,-2.01975473180413
"SHINY",2020,"B2","Cephalaspis.tenuicornis",23,1048,1048,NA,NA,"01/07/2020 00:00",44.0712380710128,-1.99975473180413,"01/07/2020 00:00",44.0812380710128,-2.01975473180413
"SHINY",2025,"B2","Cephalaspis.tenuicornis",25,2,2,NA,NA,"01/01/2025 00:00",44.0712380710128,-1.99975473180413,"01/01/2025 00:00",44.0812380710128,-2.01975473180413
"SHINY",2025,"B2","Cephalaspis.tenuicornis",27,4,4,NA,NA,"01/07/2025 00:00",44.0712380710128,-1.99975473180413,"01/07/2025 00:00",44.0812380710128,-2.01975473180413
"SHINY",2030,"B2","Cephalaspis.tenuicornis",32,27,27,NA,NA,"01/10/2030 00:00",44.0712380710128,-1.99975473180413,"01/10/2030 00:00",44.0812380710128,-2.01975473180413
"SHINY",2010,"B2","Cephalaspis.tenuicornis",13,3057,3057,NA,NA,"01/01/2010 00:00",44.0712380710128,-1.99975473180413,"01/01/2010 00:00",44.0812380710128,-2.01975473180413
"SHINY",2010,"B2","Cephalaspis.tenuicornis",15,0,0,NA,NA,"01/07/2010 00:00",44.0712380710128,-1.99975473180413,"01/07/2010 00:00",44.0812380710128,-2.01975473180413
"SHINY",2020,"B2","Cephalaspis.tenuicornis",22,987,987,NA,NA,"01/04/2020 00:00",44.0712380710128,-1.99975473180413,"01/04/2020 00:00",44.0812380710128,-2.01975473180413
"SHINY",2030,"B2","Cephalaspis.tenuicornis",29,2,2,NA,NA,"01/01/2030 00:00",44.0712380710128,-1.99975473180413,"01/01/2030 00:00",44.0812380710128,-2.01975473180413
"SHINY",2025,"B2","Cephalaspis.tenuicornis",26,0,0,NA,NA,"01/04/2025 00:00",44.0712380710128,-1.99975473180413,"01/04/2025 00:00",44.0812380710128,-2.01975473180413
"SHINY",2030,"B2","Cephalaspis.tenuicornis",30,0,0,NA,NA,"01/04/2030 00:00",44.0712380710128,-1.99975473180413,"01/04/2030 00:00",44.0812380710128,-2.01975473180413
"SHINY",2025,"B2","Cephalaspis.tenuicornis",28,0,0,NA,NA,"01/10/2025 00:00",44.0712380710128,-1.99975473180413,"01/10/2025 00:00",44.0812380710128,-2.01975473180413
"SHINY",2000,"B3","Cephalaspis.tenuicornis",6,15343,15343,NA,NA,"01/04/2000 00:00",44.0378540794435,-2.04155108131468,"01/04/2000 00:00",44.0378540794435,-2.06155108131468
"SHINY",2005,"B3","Cephalaspis.tenuicornis",9,254,254,NA,NA,"01/01/2005 00:00",44.0378540794435,-2.04155108131468,"01/01/2005 00:00",44.0378540794435,-2.06155108131468
"SHINY",1999,"B3","Cephalaspis.tenuicornis",3,255,255,NA,NA,"01/07/1999 00:00",44.0378540794435,-2.04155108131468,"01/07/1999 00:00",44.0378540794435,-2.06155108131468
"SHINY",2000,"B3","Cephalaspis.tenuicornis",5,1531,1531,NA,NA,"01/01/2000 00:00",44.0378540794435,-2.04155108131468,"01/01/2000 00:00",44.0378540794435,-2.06155108131468
"SHINY",2005,"B3","Cephalaspis.tenuicornis",12,575,575,NA,NA,"01/10/2005 00:00",44.0378540794435,-2.04155108131468,"01/10/2005 00:00",44.0378540794435,-2.06155108131468
"SHINY",2015,"B3","Cephalaspis.tenuicornis",19,200,200,NA,NA,"01/07/2015 00:00",44.0378540794435,-2.04155108131468,"01/07/2015 00:00",44.0378540794435,-2.06155108131468
"SHINY",2000,"B3","Cephalaspis.tenuicornis",8,566,566,NA,NA,"01/10/2000 00:00",44.0378540794435,-2.04155108131468,"01/10/2000 00:00",44.0378540794435,-2.06155108131468
"SHINY",2005,"B3","Cephalaspis.tenuicornis",10,16467,16467,NA,NA,"01/04/2005 00:00",44.0378540794435,-2.04155108131468,"01/04/2005 00:00",44.0378540794435,-2.06155108131468
"SHINY",2000,"B3","Cephalaspis.tenuicornis",7,679,679,NA,NA,"01/07/2000 00:00",44.0378540794435,-2.04155108131468,"01/07/2000 00:00",44.0378540794435,-2.06155108131468
"SHINY",2020,"B3","Cephalaspis.tenuicornis",22,2,2,NA,NA,"01/04/2020 00:00",44.0378540794435,-2.04155108131468,"01/04/2020 00:00",44.0378540794435,-2.06155108131468
"SHINY",2010,"B3","Cephalaspis.tenuicornis",16,3815,3815,NA,NA,"01/10/2010 00:00",44.0378540794435,-2.04155108131468,"01/10/2010 00:00",44.0378540794435,-2.06155108131468
"SHINY",2015,"B3","Cephalaspis.tenuicornis",18,1594,1594,NA,NA,"01/04/2015 00:00",44.0378540794435,-2.04155108131468,"01/04/2015 00:00",44.0378540794435,-2.06155108131468
"SHINY",1999,"B3","Cephalaspis.tenuicornis",2,0,0,NA,NA,"01/04/1999 00:00",44.0378540794435,-2.04155108131468,"01/04/1999 00:00",44.0378540794435,-2.06155108131468
"SHINY",1999,"B3","Cephalaspis.tenuicornis",4,1922,1922,NA,NA,"01/10/1999 00:00",44.0378540794435,-2.04155108131468,"01/10/1999 00:00",44.0378540794435,-2.06155108131468
"SHINY",2030,"B3","Cephalaspis.tenuicornis",32,5018,5018,NA,NA,"01/10/2030 00:00",44.0378540794435,-2.04155108131468,"01/10/2030 00:00",44.0378540794435,-2.06155108131468
"SHINY",2020,"B3","Cephalaspis.tenuicornis",21,323,323,NA,NA,"01/01/2020 00:00",44.0378540794435,-2.04155108131468,"01/01/2020 00:00",44.0378540794435,-2.06155108131468
"SHINY",2020,"B3","Cephalaspis.tenuicornis",23,2331,2331,NA,NA,"01/07/2020 00:00",44.0378540794435,-2.04155108131468,"01/07/2020 00:00",44.0378540794435,-2.06155108131468
"SHINY",2025,"B3","Cephalaspis.tenuicornis",25,3092,3092,NA,NA,"01/01/2025 00:00",44.0378540794435,-2.04155108131468,"01/01/2025 00:00",44.0378540794435,-2.06155108131468
"SHINY",1999,"B3","Cephalaspis.tenuicornis",1,400,400,NA,NA,"01/01/1999 00:00",44.0378540794435,-2.04155108131468,"01/01/1999 00:00",44.0378540794435,-2.06155108131468
"SHINY",2030,"B3","Cephalaspis.tenuicornis",29,522,522,NA,NA,"01/01/2030 00:00",44.0378540794435,-2.04155108131468,"01/01/2030 00:00",44.0378540794435,-2.06155108131468
"SHINY",2030,"B3","Cephalaspis.tenuicornis",31,22864,22864,NA,NA,"01/07/2030 00:00",44.0378540794435,-2.04155108131468,"01/07/2030 00:00",44.0378540794435,-2.06155108131468
"SHINY",2015,"B3","Cephalaspis.tenuicornis",20,4493,4493,NA,NA,"01/10/2015 00:00",44.0378540794435,-2.04155108131468,"01/10/2015 00:00",44.0378540794435,-2.06155108131468
"SHINY",2015,"B3","Cephalaspis.tenuicornis",17,105,105,NA,NA,"01/01/2015 00:00",44.0378540794435,-2.04155108131468,"01/01/2015 00:00",44.0378540794435,-2.06155108131468
"SHINY",2005,"B3","Cephalaspis.tenuicornis",11,0,0,NA,NA,"01/07/2005 00:00",44.0378540794435,-2.04155108131468,"01/07/2005 00:00",44.0378540794435,-2.06155108131468
"SHINY",2010,"B3","Cephalaspis.tenuicornis",13,7006,7006,NA,NA,"01/01/2010 00:00",44.0378540794435,-2.04155108131468,"01/01/2010 00:00",44.0378540794435,-2.06155108131468
"SHINY",2010,"B3","Cephalaspis.tenuicornis",15,232,232,NA,NA,"01/07/2010 00:00",44.0378540794435,-2.04155108131468,"01/07/2010 00:00",44.0378540794435,-2.06155108131468
"SHINY",2025,"B3","Cephalaspis.tenuicornis",28,786,786,NA,NA,"01/10/2025 00:00",44.0378540794435,-2.04155108131468,"01/10/2025 00:00",44.0378540794435,-2.06155108131468
"SHINY",2010,"B3","Cephalaspis.tenuicornis",14,134,134,NA,NA,"01/04/2010 00:00",44.0378540794435,-2.04155108131468,"01/04/2010 00:00",44.0378540794435,-2.06155108131468
"SHINY",2020,"B3","Cephalaspis.tenuicornis",24,0,0,NA,NA,"01/10/2020 00:00",44.0378540794435,-2.04155108131468,"01/10/2020 00:00",44.0378540794435,-2.06155108131468
"SHINY",2025,"B3","Cephalaspis.tenuicornis",26,103,103,NA,NA,"01/04/2025 00:00",44.0378540794435,-2.04155108131468,"01/04/2025 00:00",44.0378540794435,-2.06155108131468
"SHINY",2030,"B3","Cephalaspis.tenuicornis",30,97,97,NA,NA,"01/04/2030 00:00",44.0378540794435,-2.04155108131468,"01/04/2030 00:00",44.0378540794435,-2.06155108131468
"SHINY",2025,"B3","Cephalaspis.tenuicornis",27,0,0,NA,NA,"01/07/2025 00:00",44.0378540794435,-2.04155108131468,"01/07/2025 00:00",44.0378540794435,-2.06155108131468
"SHINY",2000,"B4","Cephalaspis.tenuicornis",7,10471,10471,NA,NA,"01/07/2000 00:00",44.0448478596541,-2.06719647072256,"01/07/2000 00:00",44.0348478596541,-2.04719647072256
"SHINY",2000,"B4","Cephalaspis.tenuicornis",8,664,664,NA,NA,"01/10/2000 00:00",44.0448478596541,-2.06719647072256,"01/10/2000 00:00",44.0348478596541,-2.04719647072256
"SHINY",2005,"B4","Cephalaspis.tenuicornis",10,7,7,NA,NA,"01/04/2005 00:00",44.0448478596541,-2.06719647072256,"01/04/2005 00:00",44.0348478596541,-2.04719647072256
"SHINY",1999,"B4","Cephalaspis.tenuicornis",4,485,485,NA,NA,"01/10/1999 00:00",44.0448478596541,-2.06719647072256,"01/10/1999 00:00",44.0348478596541,-2.04719647072256
"SHINY",2000,"B4","Cephalaspis.tenuicornis",6,2,2,NA,NA,"01/04/2000 00:00",44.0448478596541,-2.06719647072256,"01/04/2000 00:00",44.0348478596541,-2.04719647072256
"SHINY",1999,"B4","Cephalaspis.tenuicornis",3,1,1,NA,NA,"01/07/1999 00:00",44.0448478596541,-2.06719647072256,"01/07/1999 00:00",44.0348478596541,-2.04719647072256
"SHINY",2000,"B4","Cephalaspis.tenuicornis",5,223,223,NA,NA,"01/01/2000 00:00",44.0448478596541,-2.06719647072256,"01/01/2000 00:00",44.0348478596541,-2.04719647072256
"SHINY",2015,"B4","Cephalaspis.tenuicornis",20,23,23,NA,NA,"01/10/2015 00:00",44.0448478596541,-2.06719647072256,"01/10/2015 00:00",44.0348478596541,-2.04719647072256
"SHINY",1999,"B4","Cephalaspis.tenuicornis",1,0,0,NA,NA,"01/01/1999 00:00",44.0448478596541,-2.06719647072256,"01/01/1999 00:00",44.0348478596541,-2.04719647072256
"SHINY",2015,"B4","Cephalaspis.tenuicornis",19,4702,4702,NA,NA,"01/07/2015 00:00",44.0448478596541,-2.06719647072256,"01/07/2015 00:00",44.0348478596541,-2.04719647072256
"SHINY",2020,"B4","Cephalaspis.tenuicornis",21,83,83,NA,NA,"01/01/2020 00:00",44.0448478596541,-2.06719647072256,"01/01/2020 00:00",44.0348478596541,-2.04719647072256
"SHINY",2020,"B4","Cephalaspis.tenuicornis",23,8649,8649,NA,NA,"01/07/2020 00:00",44.0448478596541,-2.06719647072256,"01/07/2020 00:00",44.0348478596541,-2.04719647072256
